Match,Provider,Bet,Team,Timestamp,Living
2340675,thunderpick,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,lootbet,2.12,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,bet365,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,1xbet,2.11,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,1xstavka-hidden,2.11,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,pinnacle,2.06,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,buff88,2.15,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,unibet,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,thunderfire-hidden,2.06,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,parimatch,2.12,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,skrilla-hidden,2.07,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,unikrn,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,vulkan,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,vulkanru-hidden,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,raybet-hidden,2.08,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,dongying-hidden,2.06,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,betwinner,2.11,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,yabo-hidden,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,shark-hidden,,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,rb88-hidden,2.11,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,bobbet-hidden,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340675,luckbox,2.1,Endpoint,14-04-2020 21:43:19,NoLiving
2340676,betway,1.75,Secret,14-04-2020 21:43:19,NoLiving
2340676,ggbet,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,ggbetru-hidden,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,thunderpick,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,lootbet,1.85,Secret,14-04-2020 21:43:19,NoLiving
2340676,bet365,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,1xbet,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,1xstavka-hidden,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,pinnacle,1.89,Secret,14-04-2020 21:43:19,NoLiving
2340676,buff88,1.76,Secret,14-04-2020 21:43:19,NoLiving
2340676,unibet,1.8,Secret,14-04-2020 21:43:19,NoLiving
2340676,thunderfire-hidden,1.86,Secret,14-04-2020 21:43:19,NoLiving
2340676,parimatch,1.85,Secret,14-04-2020 21:43:19,NoLiving
2340676,skrilla-hidden,1.84,Secret,14-04-2020 21:43:19,NoLiving
2340676,unikrn,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,vulkan,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,vulkanru-hidden,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,raybet-hidden,1.85,Secret,14-04-2020 21:43:19,NoLiving
2340676,dongying-hidden,1.86,Secret,14-04-2020 21:43:19,NoLiving
2340676,betwinner,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,yabo-hidden,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,shark-hidden,,Secret,14-04-2020 21:43:19,NoLiving
2340676,rb88-hidden,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,bobbet-hidden,1.83,Secret,14-04-2020 21:43:19,NoLiving
2340676,luckbox,1.81,Secret,14-04-2020 21:43:19,NoLiving
2340676,betway,1.95,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,ggbet,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,ggbetru-hidden,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,thunderpick,1.83,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,lootbet,1.9,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,bet365,1.83,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,1xbet,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,1xstavka-hidden,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,pinnacle,1.92,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,buff88,1.99,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,unibet,1.89,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,thunderfire-hidden,1.9,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,parimatch,1.9,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,skrilla-hidden,1.87,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,unikrn,1.83,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,vulkan,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,vulkanru-hidden,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,raybet-hidden,1.91,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,dongying-hidden,1.9,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,betwinner,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,yabo-hidden,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,shark-hidden,,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,rb88-hidden,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,bobbet-hidden,1.93,Illuminar,14-04-2020 21:43:19,NoLiving
2340676,luckbox,1.9,Illuminar,14-04-2020 21:43:19,NoLiving
2340671,betway,1.7,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,ggbet,1.71,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,ggbetru-hidden,1.71,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,thunderpick,,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,lootbet,1.7,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,bet365,1.66,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,1xbet,1.72,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,1xstavka-hidden,1.72,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,pinnacle,1.76,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,buff88,1.81,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,unibet,1.64,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,thunderfire-hidden,1.73,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,parimatch,1.7,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,skrilla-hidden,1.64,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,unikrn,1.66,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,vulkan,1.71,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,vulkanru-hidden,1.71,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,raybet-hidden,1.75,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,dongying-hidden,1.73,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,betwinner,1.72,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,yabo-hidden,1.71,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,shark-hidden,,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,rb88-hidden,1.72,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,bobbet-hidden,1.71,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,luckbox,1.68,Winstrike,14-04-2020 21:43:19,NoLiving
2340671,betway,2.05,SKADE,14-04-2020 21:43:19,NoLiving
2340671,ggbet,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,ggbetru-hidden,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,thunderpick,,SKADE,14-04-2020 21:43:19,NoLiving
2340671,lootbet,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,bet365,2.1,SKADE,14-04-2020 21:43:19,NoLiving
2340671,1xbet,2.07,SKADE,14-04-2020 21:43:19,NoLiving
2340671,1xstavka-hidden,2.07,SKADE,14-04-2020 21:43:19,NoLiving
2340671,pinnacle,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,buff88,1.91,SKADE,14-04-2020 21:43:19,NoLiving
2340671,unibet,2.15,SKADE,14-04-2020 21:43:19,NoLiving
2340671,thunderfire-hidden,2.03,SKADE,14-04-2020 21:43:19,NoLiving
2340671,parimatch,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,skrilla-hidden,2.03,SKADE,14-04-2020 21:43:19,NoLiving
2340671,unikrn,2.1,SKADE,14-04-2020 21:43:19,NoLiving
2340671,vulkan,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,vulkanru-hidden,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,raybet-hidden,2.03,SKADE,14-04-2020 21:43:19,NoLiving
2340671,dongying-hidden,2.03,SKADE,14-04-2020 21:43:19,NoLiving
2340671,betwinner,2.07,SKADE,14-04-2020 21:43:19,NoLiving
2340671,yabo-hidden,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,shark-hidden,,SKADE,14-04-2020 21:43:19,NoLiving
2340671,rb88-hidden,2.07,SKADE,14-04-2020 21:43:19,NoLiving
2340671,bobbet-hidden,2.08,SKADE,14-04-2020 21:43:19,NoLiving
2340671,luckbox,2.07,SKADE,14-04-2020 21:43:19,NoLiving
2340678,betway,1.65,Espada,14-04-2020 21:43:19,NoLiving
2340678,ggbet,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,ggbetru-hidden,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,thunderpick,,Espada,14-04-2020 21:43:19,NoLiving
2340678,lootbet,1.7,Espada,14-04-2020 21:43:19,NoLiving
2340678,bet365,,Espada,14-04-2020 21:43:19,NoLiving
2340678,1xbet,1.7,Espada,14-04-2020 21:43:19,NoLiving
2340678,1xstavka-hidden,1.7,Espada,14-04-2020 21:43:19,NoLiving
2340678,pinnacle,,Espada,14-04-2020 21:43:19,NoLiving
2340678,buff88,1.75,Espada,14-04-2020 21:43:19,NoLiving
2340678,unibet,,Espada,14-04-2020 21:43:19,NoLiving
2340678,thunderfire-hidden,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,parimatch,1.7,Espada,14-04-2020 21:43:19,NoLiving
2340678,skrilla-hidden,1.64,Espada,14-04-2020 21:43:19,NoLiving
2340678,unikrn,,Espada,14-04-2020 21:43:19,NoLiving
2340678,vulkan,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,vulkanru-hidden,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,raybet-hidden,,Espada,14-04-2020 21:43:19,NoLiving
2340678,dongying-hidden,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,betwinner,1.7,Espada,14-04-2020 21:43:19,NoLiving
2340678,yabo-hidden,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,shark-hidden,,Espada,14-04-2020 21:43:19,NoLiving
2340678,rb88-hidden,1.7,Espada,14-04-2020 21:43:19,NoLiving
2340678,bobbet-hidden,1.68,Espada,14-04-2020 21:43:19,NoLiving
2340678,luckbox,1.66,Espada,14-04-2020 21:43:19,NoLiving
2340678,betway,2.1,SMASH,14-04-2020 21:43:19,NoLiving
2340678,ggbet,2.13,SMASH,14-04-2020 21:43:19,NoLiving
2340678,ggbetru-hidden,2.13,SMASH,14-04-2020 21:43:19,NoLiving
2340678,thunderpick,,SMASH,14-04-2020 21:43:19,NoLiving
2340678,lootbet,2.08,SMASH,14-04-2020 21:43:19,NoLiving
2340678,bet365,,SMASH,14-04-2020 21:43:19,NoLiving
2340678,1xbet,2.11,SMASH,14-04-2020 21:43:19,NoLiving
2340678,1xstavka-hidden,2.11,SMASH,14-04-2020 21:43:19,NoLiving
2340678,pinnacle,,SMASH,14-04-2020 21:43:19,NoLiving
2340678,buff88,1.98,SMASH,14-04-2020 21:43:19,NoLiving
2340678,unibet,,SMASH,14-04-2020 21:43:19,NoLiving
2340678,thunderfire-hidden,2.13,SMASH,14-04-2020 21:43:19,NoLiving
2340678,parimatch,2.08,SMASH,14-04-2020 21:43:19,NoLiving
2340678,skrilla-hidden,2.04,SMASH,14-04-2020 21:43:19,NoLiving
2340678,unikrn,,SMASH,14-04-2020 21:43:19,NoLiving
2340678,vulkan,2.13,SMASH,14-04-2020 21:43:19,NoLiving
2340678,vulkanru-hidden,2.13,SMASH,14-04-2020 21:43:19,NoLiving
2340678,raybet-hidden,,SMASH,14-04-2020 21:43:19,NoLiving
2340678,dongying-hidden,2.13,SMASH,14-04-2020 21:43:19,NoLiving
2340678,betwinner,2.11,SMASH,14-04-2020 21:43:19,NoLiving
