Match,Provider,Bet,Team,Timestamp
FURIA-vs-MIBR-yearmonthday,1xstavka-hidden,2.61,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,pinnacle,5.1,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,buff88,5.6,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,unibet,2.3,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,thunderfire-hidden,5.0,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,parimatch,5.2,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,skrilla-hidden,2.29,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,unikrn,5.0,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,vulkan,5.55,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,vulkanru-hidden,5.55,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,raybet-hidden,4.99,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,dongying-hidden,5.0,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,betwinner,5.63,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,yabo-hidden,5.55,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,shark-hidden,,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,rb88-hidden,2.61,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,bobbet-hidden,5.55,MIBR,fecha
FURIA-vs-MIBR-yearmonthday,luckbox,5.0,MIBR,fecha
Liquid-vs-Evil Geniuses-yearmonthday,betway,1.6,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,ggbet,1.54,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,ggbetru-hidden,1.54,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,thunderpick,1.53,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,lootbet,1.55,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,bet365,1.61,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,1xbet,1.66,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,1xstavka-hidden,1.66,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,pinnacle,1.69,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,buff88,1.61,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,unibet,1.47,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,thunderfire-hidden,1.6,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,parimatch,1.55,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,skrilla-hidden,1.54,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,unikrn,1.53,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,vulkan,1.54,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,vulkanru-hidden,1.54,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,raybet-hidden,1.6,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,dongying-hidden,1.6,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,betwinner,1.66,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,yabo-hidden,1.54,Liquid,fecha
Liquid-vs-Evil Geniuses-yearmonthday,shark-hidden,,Liquid,fecha
